Zeit t / s;Temperatur T_1 / °C;Temperatur T_2 / °C
1760;6,5;37,8
1761;6,5;37,8
1762;6,5;37,8
1763;6,5;37,8
1764;6,5;37,8
1765;6,5;37,8
1766,001;6,5;37,8
1767;6,5;37,8
1768,001;6,5;37,8
1769,001;6,5;37,9
1770;6,5;37,9
1771;6,5;37,9
1772;6,5;37,9
1773;6,5;37,9
1774,001;6,5;37,9
1775;6,5;37,9
1776;6,5;37,9
1777,001;6,5;37,9
1778;6,5;37,9
1779;6,5;37,9
1780;6,5;37,9
1781;6,5;37,9
1782;6,5;37,9
1783;6,5;38
1784;6,5;38
1785;6,5;38
1786;6,5;38
1787;6,5;38
1788;6,5;38
1789;6,5;38
1790;6,5;38
1791;6,5;38
1792;6,5;38
1793;6,5;38
1794;6,5;38
1795;6,5;38
1796;6,5;38
1797,001;6,5;38,1
1798,001;6,5;38,1
1799;6,5;38,1
1800;6,5;38,1
1801;6,5;38,1
1802,001;6,5;38,1
1803;6,5;38,1
1804;6,5;38,1
1805,001;6,5;38,1
1806,001;6,5;38,1
1807;6,5;38,1
1807,999;6,5;38,1
1809;6,5;38,1
1810,001;6,5;38,1
