Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
256,001;1;256;22,2471070632842;18,8399322782011
256,999;1;257;22,3334925536489;7,01270351241274
258,001;0;258;22,4198780440136;4,00334319189956
259;1;259;22,5062635343783;12,2212974773798
260;1;260;22,592649024743;6,00072368727669
261;2;261;22,6790345151077;12,0018482846358
262;1;262;22,7654200054724;10,9952731320805
263;0;263;22,8518054958371;11,0184669506092
264;1;264;22,9381909862018;5,54797517214535
265;1;265;23,0245764765665;7,00996115480097
266;1;266;23,1109619669312;15,5521720941155
267;1;267;23,1973474572959;5,9951529188651
268;0;268;23,2837329476606;13,3230937955796
269;1;269;23,3701184380253;10,0024195852977
270;1;270;23,4565039283899;6,00772352936936
271;1;271;23,5428894187546;6,65173352490326
272;2;272;23,6292749091193;14,0319577838527
273;1;273;23,715660399484;7,76754964102269
274,001;0;274;23,8020458898487;9,99671774434061
275,001;2;275;23,8884313802134;10,9991717623663
276;0;276;23,9748168705781;13,3175239526766
277;0;277;24,0612023609428;11,999874001323
278;1;278;24,1475878513075;10,0250244660722
279;0;279;24,2339733416722;9,97394804769941
279,999;0;280;24,3203588320369;8,00553102138267
281;0;281;24,4067443224016;10,9943950573997
281,999;0;282;24,4931298127663;11,0139315219822
283;0;283;24,579515303131;12,2130664933744
284;0;284;24,6659007934957;13,0102091110895
285,001;0;285;24,7522862838604;9,99905786654769
285,999;1;286;24,8386717742251;12,0119266419628
287;0;287;24,9250572645898;4,4370094955331
288;0;288;25,0114427549545;14,0101882088655
289;0;289;25,0978282453192;14,4342554638931
290;0;290;25,1842137356839;15,5394653025384
291;1;291;25,2705992260486;11,0084148322978
292;0;292;25,3569847164132;6,00885585175432
293;0;293;25,4433702067779;4,43826342291746
294;0;294;25,5297556971426;7,00935328101819
294,999;0;295;25,6161411875073;13,2949581751695
296;1;296;25,702526677872;8,0217783259772
297;0;297;25,7889121682367;10,9998669016105
297,999;0;298;25,8752976586014;8,86361085557444
299,001;0;299;25,9616831489661;10,0246415714468
;0;300;26,0480686393308;
;0;301;26,1344541296955;
;0;302;26,2208396200602;
;0;303;26,3072251104249;
;0;304;26,3936106007896;
;0;305;26,4799960911543;
;0;306;26,566381581519;
;0;307;26,6527670718837;
;0;308;26,7391525622484;
;0;309;26,8255380526131;
;0;310;26,9119235429778;
;0;311;26,9983090333425;
;0;312;27,0846945237071;
;0;313;27,1710800140718;
;0;314;27,2574655044365;
;0;315;27,3438509948012;
;0;316;27,4302364851659;
;0;317;27,5166219755306;
;0;318;27,6030074658953;
;0;319;27,68939295626;
;0;320;27,7757784466247;
;0;321;27,8621639369894;
;0;322;27,9485494273541;
;0;323;28,0349349177188;
;0;324;28,1213204080835;
;0;325;28,2077058984482;
;0;326;28,2940913888129;
;0;327;28,3804768791776;
;1;328;28,4668623695423;
;1;329;28,553247859907;
;0;330;28,6396333502717;
;0;331;28,7260188406364;
;0;332;28,8124043310011;
;0;333;28,8987898213658;
;0;334;28,9851753117305;
;0;335;29,0715608020951;
;0;336;29,1579462924598;
;0;337;29,2443317828245;
;0;338;29,3307172731892;
;0;339;29,4171027635539;
;0;340;29,5034882539186;
;0;341;29,5898737442833;
;0;342;29,676259234648;
;0;343;29,7626447250127;
;0;344;29,8490302153774;
