Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
108,001;73;108;9,46205448930931;64,1556673111638;1,1640625
109;56;109;9,548439979674;79,9216678852871;1,1640625
110;46;110;9,6348254700387;69,8228439287652;1,1640625
111;34;111;9,72121096040339;59,0925093233457;0,776041666666667
112;22;112;9,80759645076809;73,1025116520897;0,388020833333333
113;21;113;9,89398194113278;63,298181743072;1,1640625
114;18;114;9,98036743149748;68,1060956758438;1,1640625
115;9;115;10,0667529218622;66,5787087947145;1,1640625
116;12;116;10,1531384122269;66,6332981916722;1,1640625
117;16;117;10,2395239025916;83,1252781066345;1,1640625
117,999;12;118;10,3259093929563;73,2067426072005;1,1640625
119;14;119;10,412294883321;45,0294357421446;1,1640625
120,001;10;120;10,4986803736856;73,2259434192011;1,1640625
121;7;121;10,5850658640503;64,1375815261317;1,1640625
122;10;122;10,671451354415;53,2942035447751;1,1640625
123;8;123;10,7578368447797;70,9790270283699;1,1640625
124;5;124;10,8442223351444;64,1445368849629;1,1640625
125,001;1;125;10,9306078255091;62,1207514259208;1,1640625
126;2;126;11,0169933158738;86,6112931798937;0,776041666666667
126,999;0;127;11,1033788062385;84,0727060762147;1,1640625
128;1;128;11,1897642966032;64,000902412724;1,1640625
129,001;1;129;11,2761497869679;67,093736659487;1,1640625
129,999;1;130;11,3625352773326;70,9697787395169;1,1640625
131;0;131;11,4489207676973;66,6343860085559;1,1640625
132;0;132;11,535306258062;61,0940183624182;1,1640625
133;0;133;11,6216917484267;68,0184942285807;1,1640625
133,999;1;134;11,7080772387914;76,6272206762896;1,1640625
134,999;1;135;11,7944627291561;54,9963592410182;1,1640625
136;1;136;11,8808482195208;83,1368598987654;1,1640625
136,999;4;137;11,9672337098855;73,203048174926;1,1640625
138;7;138;12,0536192002502;59,0928466807047;1,1640625
139;4;139;12,1400046906149;82,0011234153908;1,1640625
140;9;140;12,2263901809796;62,0578516591277;1,1640625
141,001;8;141;12,3127756713443;62,148360566344;1,1640625
142,001;10;142;12,3991611617089;75,4915806349441;1,1640625
143;16;143;12,4855466520736;67,6637343126901;1,1640625
144;12;144;12,5719321424383;69,0908406372699;1,1640625
145,001;6;145;12,658317632803;76,072177281805;1,1640625
146,001;11;146;12,7447031231677;72,0946947177881;1,1640625
146,999;8;147;12,8310886135324;49,0041702548887;1,1640625
148,001;8;148;12,9174741038971;62,0456531916184;1,1640625
148,999;10;149;13,0038595942618;64,3930945289517;1,1640625
150;1;150;13,0902450846265;53,0778439659605;1,1640625
151;2;151;13,1766305749912;67,6142114874993;1,1640625
152;3;152;13,2630160653559;68,8732470092348;1,1640625
153;3;153;13,3494015557206;67,6694465127383;1,1640625
153,999;1;154;13,4357870460853;57,9979062755835;1,1640625
155,001;0;155;13,52217253645;53,332675563668;1,1640625
155,999;1;156;13,6085580268147;61,9931373596943;1,1640625
156,999;3;157;13,6949435171794;81,1417709021202;1,1640625
158;0;158;13,7813290075441;68,760078342128;1,1640625
159;1;159;13,8677144979088;56,0424465490162;1,1640625
160;0;160;13,9540999882735;74,9690452812034;1,1640625
160,999;0;161;14,0404854786382;76,098433323504;1,1640625
162;1;162;14,1268709690029;73,1934119275319;0,776041666666667
162,999;1;163;14,2132564593675;73,3294305780837;1,1640625
164;3;164;14,2996419497322;61,1043488964999;1,1640625
165,001;5;165;14,3860274400969;70,0343798770817;1,1640625
166,001;3;166;14,4724129304616;73,3325511194547;1,1640625
167;3;167;14,5587984208263;65,4615164504236;1,1640625
168,001;2;168;14,645183911191;69,1064515780108;1,1640625
168,999;1;169;14,7315694015557;69,8694683066547;1,1640625
170;3;170;14,8179548919204;72,2060079619899;1,1640625
171,001;2;171;14,9043403822851;53,3286522627458;0,388020833333333
171,999;0;172;14,9907258726498;74,1162661867672;1,1640625
173;2;173;15,0771113630145;69,9374293132411;1,1640625
174;0;174;15,1634968533792;58,8584721384538;1,1640625
175;2;175;15,2498823437439;52,0729698526545;1,1640625
175,999;0;176;15,3362678341086;61,0504066567587;1,1640625
177;1;177;15,4226533244733;82,1413586180715;1,1640625
178;0;178;15,509038814838;69,0301109343896;1,1640625
179,001;1;179;15,5954243052027;66,0841978765145;1,1640625
180;1;180;15,6818097955674;68,9947150048306;1,1640625
181;1;181;15,7681952859321;66,5755690962866;1,1640625
182;2;182;15,8545807762968;62,1862509308504;0,776041666666667
183;3;183;15,9409662666615;59,958894846533;1,1640625
184;0;184;16,0273517570261;56,0798352534668;1,1640625
184,999;1;185;16,1137372473908;55,5036719564256;1,1640625
186;1;186;16,2001227377555;62,18174190824;0,776041666666667
187;3;187;16,2865082281202;78,0141361614725;0,388020833333333
187,999;3;188;16,3728937184849;55,0830762956691;1,1640625
189;5;189;16,4592792088496;73,2676122851136;1,1640625
190;2;190;16,5456646992143;77,7012420543542;1,1640625
191;3;191;16,632050189579;64,0052164251387;1,1640625
192,001;5;192;16,7184356799437;47,059535017751;1,1640625
192,999;0;193;16,8048211703084;56,6267070870323;1,1640625
194;2;194;16,8912066606731;72,1771435862113;0,776041666666667
194,999;3;195;16,9775921510378;78,1231142156925;0,388020833333333
196;5;196;17,0639776414025;66,5497387756379;1,1640625
196,999;3;197;17,1503631317672;57,0085227741547;0,776041666666667
198,001;5;198;17,2367486221319;61,0792548863959;1,1640625
198,999;4;199;17,3231341124966;85,1535488793392;1,1640625
200;4;200;17,4095196028613;66,569054243461;1,1640625
200,999;4;201;17,495905093226;71,0796544151627;1,1640625
202;2;202;17,5822905835907;73,1067870838935;1,1640625
203;0;203;17,6686760739554;70,9834985548203;1,1640625
204;0;204;17,7550615643201;64,3308718641057;1,1640625
204,999;0;205;17,8414470546847;61,0209668041939;1,1640625
206;1;206;17,9278325450494;61,0800145970129;1,1640625
207,004;0;207;18,0142180354141;55,554277807166;1,1640625
208;1;208;18,1006035257788;58,9951093054386;1,1640625
208,999;1;209;18,1869890161435;73,0372051523046;1,1640625
210;0;210;18,2733745065082;77,7485097832061;0,388020833333333
211;0;211;18,3597599968729;82,018642837517;0
211,999;2;212;18,4461454872376;62,0265845941571;1,1640625
213,001;0;213;18,5325309776023;62,2175559055293;1,1640625
214;1;214;18,618916467967;68,7608714264864;1,1640625
215;1;215;18,7053019583317;42,0450260183631;1,1640625
215,999;3;216;18,7916874486964;74,098944320351;1,1640625
216,999;0;217;18,8780729390611;56,522158348489;0,776041666666667
217,999;0;218;18,9644584294258;65,0567880703066;0
219;1;219;19,0508439197905;59,9428924064044;1,1640625
220;2;220;19,1372294101552;63,1523803786156;1,1640625
220,999;0;221;19,2236149005199;61,012230622682;1,1640625
221,999;0;222;19,3100003908846;55,5480257120701;1,1640625
223;1;223;19,3963858812493;60,0769766301562;1,1640625
223,999;0;224;19,482771371614;81,9166661754997;1,1640625
224,999;0;225;19,5691568619787;72,082144812228;1,1640625
226,001;0;226;19,6555423523434;82,0113346314028;1,1640625
226,999;0;227;19,7419278427081;77,0950890828748;1,1640625
228;2;228;19,8283133330727;63,0025074997985;1,1640625
229;2;229;19,9146988234374;62,0088362591669;1,1640625
229,999;0;230;20,0010843138021;61,0626319415825;1,1640625
230,999;0;231;20,0874698041668;77,717814166492;1,1640625
232,001;1;232;20,1738552945315;77,7338149868574;1,1640625
232,999;0;233;20,2602407848962;58,0718232309721;1,1640625
233,999;1;234;20,3466262752609;76,5996249726767;1,1640625
235;2;235;20,4330117656256;69,9680455935774;0,776041666666667
235,999;0;236;20,5193972559903;73,2923873196174;0,776041666666667
237;2;237;20,605782746355;62,1790009078134;0,776041666666667
238;0;238;20,6921682367197;61,0930997747467;1,1640625
239;1;239;20,7785537270844;69,860109012819;0,388020833333333
240;0;240;20,8649392174491;67,1755633347754;0,776041666666667
241;0;241;20,9513247078138;67,6933341042236;1,1640625
242;1;242;21,0377101981785;84,3029092268425;1,1640625
243;1;243;21,1240956885432;57,0482000242004;1,55208333333333
244;0;244;21,2104811789079;55,0785254537394;1,1640625
245;1;245;21,2968666692726;66,6653259528892;1,1640625
246;0;246;21,3832521596373;74,3926175875251;1,1640625
247;1;247;21,469637650002;70,0460412629221;1,1640625
247,999;0;248;21,5560231403667;62,1958649967669;1,1640625
248,999;0;249;21,6424086307313;71,0072995503938;1,1640625
249,999;0;250;21,728794121096;56,6312846984601;1,1640625
250,999;0;251;21,8151796114607;74,0007178069627;1,1640625
252;0;252;21,9015651018254;71,1105185234567;1,1640625
252,999;1;253;21,9879505921901;66,1000093140922;0,776041666666667
253,999;0;254;22,0743360825548;53,2949787136524;1,1640625
255;1;255;22,1607215729195;73,2759745288272;1,1640625
256;0;256;22,2471070632842;72,9962333943568;1,1640625
257;2;257;22,3334925536489;68,9524917331958;1,1640625
258;1;258;22,4198780440136;68,0581625056774;1,1640625
259;0;259;22,5062635343783;66,0918346041825;1,1640625
260;0;260;22,592649024743;56,517040940612;1,1640625
260,999;0;261;22,6790345151077;49,9212791349321;1,1640625
262;0;262;22,7654200054724;63,168653989286;1,1640625
262,999;0;263;22,8518054958371;62,9225486348853;1,1640625
264;0;264;22,9381909862018;56,0592602440039;1,1640625
265;2;265;23,0245764765665;57,7503142949797;1,1640625
265,999;0;266;23,1109619669312;56,0950586864501;1,1640625
266,999;0;267;23,1973474572959;79,9850072547513;1,1640625
267,999;0;268;23,2837329476606;62,1452311858087;1,1640625
268,999;1;269;23,3701184380253;71,0937089510201;1,1640625
270;0;270;23,4565039283899;57,9981150612605;1,1640625
271;0;271;23,5428894187546;68,8817404949309;1,1640625
271,999;1;272;23,6292749091193;84,0082580117625;1,1640625
273;0;273;23,715660399484;58,8766163852957;0,388020833333333
274;0;274;23,8020458898487;67,7711211476562;1,1640625
275;1;275;23,8884313802134;62,0001488003571;1,1640625
276;0;276;23,9748168705781;70,0257764883254;1,1640625
277;0;277;24,0612023609428;58,0759924361026;1,1640625
278;1;278;24,1475878513075;70,996971646361;1,1640625
278,999;0;279;24,2339733416722;69,1010395400154;1,1640625
279,999;1;280;24,3203588320369;58,7720630879286;1,1640625
280,999;0;281;24,4067443224016;67,0025460967517;1,1640625
