Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
0;0;0;0.132421529922214;;1.1640625
1;0;1;0.21880702028691;2.17943459364224;1.1640625
2;0;2;0.305192510651603;3.33316408266825;0.776041666666667
3.001;0;3;0.391578001016299;4.00590349998793;1.1640625
4;0;4;0.477963491380995;4.44032579558427;1.1640625
5;0;5;0.564348981745691;7.77322266929357;1.1640625
6;0;6;0.650734472110384;5.54877248945234;1.1640625
7;0;7;0.737119962475081;7.01150658345411;1.1640625
7.999;0;8;0.823505452839776;1.11039761895218;1.1640625
9;0;9;0.909890943204472;2.22210840089191;1.1640625
10;0;10;0.996276433569166;3.33245171471858;1.1640625
11;0;11;1.08266192393386;2.22197311434751;1.1640625
12;0;12;1.16904741429856;3.33145217333945;1.1640625
13;0;13;1.25543290466325;2.22177737301931;0.776041666666667
14;0;14;1.34181839502795;6.00768202300281;1.1640625
15;0;15;1.42820388539264;4.43740917871433;1.1640625
16;0;16;1.51458937575734;5.55057422355515;1.1640625
17.001;0;17;1.60097486612203;0;0.388020833333333
18;0;18;1.68736035648673;6.66098484659252;1.1640625
19;0;19;1.77374584685142;4.001968167945;1.1640625
20.001;0;20;1.86013133721612;4.00045525180766;0.776041666666667
21;0;21;1.94651682758081;3.32748361713441;1.1640625
22;0;22;2.03290231794551;5.01300523949282;1.1640625
23;0;23;2.11928780831021;5.54540253966127;1.1640625
24;1;24;2.2056732986749;2.00263667144162;1.1640625
25;0;25;2.2920587890396;3.32914194362631;1.1640625
25.999;0;26;2.37844427940429;8.87727543988564;1.1640625
27;0;27;2.46482976976899;2.99521006007193;1.1640625
28;0;28;2.55121526013368;5.01344656503207;0
28.999;3;29;2.63760075049838;6.00052744636254;1.1640625
30;2;30;2.72398624086307;3.9986984236631;1.1640625
31;2;31;2.81037173122777;5.99454915645204;1.1640625
32;2;32;2.89675722159246;6.6619263359716;1.1640625
33.001;3;33;2.98314271195716;4.99725950288862;1.1640625
34;2;34;3.06952820232185;3.00654494769664;1.1640625
35;0;35;3.15591369268655;4.99898320681573;1.1640625
36;2;36;3.24229918305124;1.10968627393538;0.776041666666667
37;3;37;3.32868467341594;4.44160872403019;1.1640625
38.001;2;38;3.41507016378063;10.0034722052024;0.388020833333333
39;6;39;3.50145565414533;4.44316974841218;0.776041666666667
40;2;40;3.58784114451003;8.01136492227874;0.776041666666667
40.999;4;41;3.67422663487472;3.33114662064058;1.1640625
42.001;0;42;3.76061212523942;5.51993419355252;1.1640625
43;3;43;3.84699761560411;8.05295380835762;0.388020833333333
44;2;44;3.93338310596881;3.32797492393081;0.388020833333333
45;2;45;4.0197685963335;3.00143949037959;0.776041666666667
46;3;46;4.1061540866982;4.4405826177612;1.1640625
47;5;47;4.19253957706289;5.00991562500501;1.1640625
48;2;48;4.27892506742759;2.21805252991626;1.1640625
49.001;5;49;4.36531055779228;8.00409169167278;0
50.001;1;50;4.45169604815698;3.33286932385969;0.776041666666667
51;6;51;4.53808153852167;2.2187671087745;1.1640625
52;8;52;4.62446702888637;7.00503521931564;1.1640625
53;5;53;4.71085251925106;5.00024251176182;1.1640625
54;12;54;4.79723800961576;7.99976000719978;1.1640625
54.999;8;55;4.88362349998046;0.999902109583472;1.1640625
56;3;56;4.97000899034515;6.65417603888878;1.1640625
57.001;1;57;5.05639448070985;5.99484263687949;1.1640625
58.001;4;58;5.14277997107454;7.99848508692454;0.776041666666667
59;3;59;5.22916546143924;4.00433749837824;0.776041666666667
60;3;60;5.31555095180393;6.00417950935646;1.1640625
60.999;2;61;5.40193644216863;6.00484230483462;1.1640625
62;1;62;5.48832193253332;6.65473989394563;1.1640625
63.001;1;63;5.57470742289802;5.00070109829398;1.1640625
64;2;64;5.66109291326271;4.00537681784027;1.1640625
64.999;1;65;5.74747840362741;4.99564629425456;1.1640625
66.001;2;66;5.8338638939921;11.1079367096425;1.1640625
66.999;1;67;5.9202493843568;5.00698374092184;0.776041666666667
67.999;4;68;6.00663487472149;2.21768606857374;1.1640625
69;5;69;6.09302036508619;6.00552989192448;1.1640625
70;2;70;6.17940585545088;2.22070868588009;1.1640625
70.999;7;71;6.26579134581558;4.00532507969345;1.1640625
71.999;4;72;6.35217683618028;5.54635599973733;1.1640625
73;4;73;6.43856232654497;4.4395308703334;0.776041666666667
74;3;74;6.52494781690967;3.00774795874172;1.1640625
74.999;5;75;6.61133330727436;4.43692139771898;1.1640625
75.999;5;76;6.69771879763906;6.00147816407181;0.776041666666667
77.001;6;77;6.78410428800375;4.99993300089779;0.776041666666667
78;3;78;6.87048977836845;3.33147178093485;0.388020833333333
78.999;2;79;6.95687526873314;7.00160266685044;1.1640625
80;5;80;7.04326075909784;5.00252327273877;1.1640625
81;3;81;7.12964624946253;2.22070178173566;1.1640625
82;4;82;7.21603173982723;5.9993988602342;1.1640625
83;1;83;7.30241723019192;2.22050946925161;0
84;10;84;7.38880272055662;6.00509892950104;1.1640625
85;8;85;7.47518821092132;8.0005280348503;0.776041666666667
85.999;5;86;7.56157370128601;6.0074732967812;1.1640625
86.999;3;87;7.64795919165071;4.44415903067559;0.388020833333333
87.999;9;88;7.7343446820154;3.32924982346653;0
89;5;89;7.8207301723801;6.65759975553294;0
89.999;3;90;7.90711566274479;6.00882997564922;0.388020833333333
91;4;91;7.99350115310949;4.99237414848819;0.388020833333333
91.999;2;92;8.07988664347418;3.99775326266638;1.1640625
93;2;93;8.16627213383888;5.00656260225904;1.1640625
93.999;9;94;8.25265762420357;2.0033572260394;0.776041666666667
95;8;95;8.33904311456827;12.2003754166428;1.1640625
96;14;96;8.42542860493296;5.00778761051311;1.1640625
96.999;12;97;8.51181409529766;6.65452363980705;1.1640625
98;11;98;8.59819958566235;6.00866268899873;1.1640625
99.001;10;99;8.68458507602705;4.44132614001347;1.1640625
100;7;100;8.77097056639174;4.00406652996784;1.1640625
101;8;101;8.85735605675644;2.22154909284709;1.1640625
101.999;2;102;8.94374154712114;4.00032802689821;1.1640625
103;7;103;9.03012703748583;3.32896609969566;0.776041666666667
104;7;104;9.11651252785053;1.11061454300877;1.1640625
105;3;105;9.20289801821522;8.8672075811078;0.388020833333333
106;10;106;9.28928350857992;2.00273794304193;0.776041666666667
106.999;6;107;9.37566899894461;1.10988407260862;0.388020833333333
107.999;6;108;9.46205448930931;3.00283828274485;1.1640625
109;7;109;9.548439979674;1.11032709681109;1.1640625
110;6;110;9.6348254700387;7.77754013071823;1.1640625
111;13;111;9.72121096040339;1.00004360190104;1.1640625
111.999;7;112;9.80759645076809;4.44363669004168;1.1640625
113;5;113;9.89398194113278;7.00372808445936;0.388020833333333
114;9;114;9.98036743149748;6.00742938792405;1.1640625
114.999;7;115;10.0667529218622;4.43627036982857;1.1640625
116.001;6;116;10.1531384122269;4.00005040063505;1.1640625
117;1;117;10.2395239025916;7.7703113719173;1.1640625
117.999;4;118;10.3259093929563;8.02120324866753;1.1640625
118.999;2;119;10.412294883321;1.11078713153108;1.1640625
120;0;120;10.4986803736856;7.77620698396702;1.1640625
120.999;5;121;10.5850658640503;1.10810654178454;1.1640625
122;1;122;10.671451354415;5.55083549510622;1.1640625
123.001;2;123;10.7578368447797;11.104682733662;1.1640625
123.999;3;124;10.8442223351444;5.00350145031493;0.388020833333333
125;2;125;10.9306078255091;5.55049042468245;0.776041666666667
126;8;126;11.0169933158738;3.00404705218871;0.776041666666667
126.999;5;127;11.1033788062385;5.55056929413965;1.1640625
128;7;128;11.1897642966032;3.33182697733658;1.1640625
129;7;129;11.2761497869679;3.00007770201248;0.776041666666667
130;7;130;11.3625352773326;2.00249651240201;0.388020833333333
130.999;4;131;11.4489207676973;4.44164078207967;1.1640625
131.999;6;132;11.535306258062;1.10986707344035;1.1640625
132.999;9;133;11.6216917484267;9.99059441039564;1.1640625
134;7;134;11.7080772387914;3.0039556087456;0.776041666666667
135;10;135;11.7944627291561;1.11052130090907;1.1640625
136;10;136;11.8808482195208;3.00087865727085;1.1640625
136.999;11;137;11.9672337098855;0;1.1640625
138;7;138;12.0536192002502;7.76519471114807;0.776041666666667
139;5;139;12.1400046906149;3.99766616249434;1.1640625
140;5;140;12.2263901809796;4.00511453125641;0.776041666666667
140.999;10;141;12.3127756713443;3.33147881012903;1.1640625
141.999;6;142;12.3991611617089;5.00237562818583;0.388020833333333
143;13;143;12.4855466520736;2.21832585609631;1.1640625
143.999;9;144;12.5719321424383;5.0124202762024;1.1640625
145;10;145;12.658317632803;4.43827031729194;0.776041666666667
145.999;11;146;12.7447031231677;1.11049121023997;1.1640625
147;5;147;12.8310886135324;2.00067863019136;1.1640625
147.999;10;148;12.9174741038971;10.0141038638819;1.1640625
148.999;10;149;13.0038595942618;5.55509201398861;1.1640625
150;14;150;13.0902450846265;5.54510857100778;1.1640625
151;11;151;13.1766305749912;5.00269495177052;1.1640625
151.999;9;152;13.2630160653559;6.00780654382304;1.1640625
153;7;153;13.3494015557206;2.21830740261381;1.1640625
153.999;9;154;13.4357870460853;3.00197409816695;1.1640625
155;17;155;13.52217253645;2.22066380970865;1.1640625
156;12;156;13.6085580268147;5.55404423840668;1.1640625
156.999;15;157;13.6949435171794;4.9997850092446;1.1640625
157.999;14;158;13.7813290075441;6.66302865302212;1.1640625
158.999;15;159;13.8677144979088;7.0093413492161;1.1640625
160;15;160;13.9540999882735;6.65543451168911;1.1640625
161;15;161;14.0404854786382;3.33317408168276;1.1640625
161.999;12;162;14.1268709690029;3.00417008849985;0.388020833333333
162.999;17;163;14.2132564593675;3.98335039203139;1.1640625
164;19;164;14.2996419497322;4.01245465926235;1.1640625
