wert,wert,wert,wert
s,t,U,I
160,19.15117428,-0.682,-0.088740394
161,19.27161562,-0.68,-0.088783577
162,19.39208756,-0.678,-0.088686928
163,19.51253276,-0.676,-0.088734314
164,19.63297672,-0.674,-0.088750288
165,19.7534329,-0.672,-0.08887814
166,19.87387788,-0.67,-0.088753805
167,19.99434204,-0.668,-0.088767275
168,20.11477954,-0.666,-0.088696793
169,20.23524932,-0.664,-0.088795349
170,20.35566988,-0.662,-0.088752851
171,20.47613756,-0.66,-0.088799819
172,20.59657174,-0.658,-0.088756159
173,20.71703902,-0.656,-0.08871533
174,20.83747278,-0.654,-0.088764712
175,20.95792312,-0.652,-0.088733718
176,21.078357,-0.65,-0.088808134
177,21.19881834,-0.648,-0.088695958
178,21.3192588,-0.646,-0.08874248
179,21.43969454,-0.644,-0.088771984
180,21.5601476,-0.642,-0.088673905
181,21.68059084,-0.64,-0.088691548
182,21.8010422,-0.638,-0.088478103
183,21.92148376,-0.636,-0.088635907
184,22.04192632,-0.634,-0.08863233
185,22.1623504,-0.632,-0.088684335
186,22.28280156,-0.63,-0.088608965
187,22.40323074,-0.628,-0.088650241
188,22.52369068,-0.626,-0.088738754
189,22.64413786,-0.624,-0.088755444
190,22.764593,-0.622,-0.088864729
191,22.8850377,-0.62,-0.088811412
192,23.00547732,-0.618,-0.088865981
193,23.12592364,-0.616,-0.088818356
194,23.24638082,-0.614,-0.088866845
195,23.36682764,-0.612,-0.088864848
196,23.48728636,-0.61,-0.088838622
197,23.6077459,-0.608,-0.088739052
198,23.72817576,-0.606,-0.088668182
199,23.84863156,-0.604,-0.0888616
200,23.96907566,-0.602,-0.088683978
201,24.08952648,-0.6,-0.088725254
202,24.20995436,-0.598,-0.088677034
203,24.33040998,-0.596,-0.088823989
204,24.45084878,-0.594,-0.0888495
205,24.57128652,-0.592,-0.08881177
206,24.69173002,-0.59,-0.088739261
207,24.81218582,-0.588,-0.088623807
208,24.93264912,-0.586,-0.088851586
209,25.05309064,-0.584,-0.08868666
210,25.17355054,-0.582,-0.088817462
211,25.29397678,-0.58,-0.088823959
212,25.41443056,-0.578,-0.088810727
213,25.53486982,-0.576,-0.088870421
214,25.65532962,-0.574,-0.088496283
215,25.77576154,-0.572,-0.088327393
216,25.89621938,-0.57,-0.087962255
217,26.01665452,-0.568,-0.088285252
218,26.13712454,-0.566,-0.088376954
219,26.25757608,-0.564,-0.08869262
220,26.37800854,-0.562,-0.088732675
221,26.49845522,-0.56,-0.088807657
222,26.61887844,-0.558,-0.088847533
223,26.7393335,-0.556,-0.088894144
224,26.859779,-0.554,-0.088866487
225,26.98022902,-0.552,-0.088843539
226,27.1006752,-0.55,-0.088887528
227,27.22114026,-0.548,-0.088955775
228,27.34159366,-0.546,-0.088885888
229,27.46203714,-0.544,-0.088771895
230,27.58248018,-0.542,-0.088626161
231,27.70294178,-0.54,-0.088559493
232,27.82337196,-0.538,-0.088642821
233,27.94380666,-0.536,-0.08872287
234,28.0642688,-0.534,-0.088667884
235,28.1847054,-0.532,-0.08887513
236,28.30516792,-0.53,-0.088905349
237,28.42561682,-0.528,-0.088820323
238,28.5460663,-0.526,-0.088784024
239,28.66651344,-0.524,-0.088711873
240,28.7869765,-0.522,-0.088561013
241,28.90742248,-0.52,-0.088623807
242,29.0278906,-0.518,-0.088712499
243,29.1483211,-0.516,-0.088610277
244,29.26877312,-0.514,-0.088557526
245,29.38921448,-0.512,-0.088654503
246,29.50966222,-0.51,-0.088870391
247,29.6301041,-0.508,-0.08892335
248,29.75055876,-0.506,-0.088761225
249,29.87100552,-0.504,-0.088916525
250,29.99144694,-0.502,-0.088858411
251,30.11189998,-0.5,-0.08887063
252,30.23232744,-0.498,-0.088819489
253,30.35277566,-0.496,-0.088856474
254,30.47321712,-0.494,-0.088648006
255,30.5936618,-0.492,-0.088601634
256,30.71410446,-0.49,-0.088637725
257,30.83452558,-0.488,-0.088556841
258,30.9549876,-0.486,-0.088579819
259,31.07542944,-0.484,-0.088683769
260,31.19587768,-0.482,-0.088822737
261,31.31631924,-0.48,-0.088750556
262,31.43679112,-0.478,-0.088845953
