wert,wert
U,I
12.03,0
11.88,12.18
11.83,14.14
11.76,16.36
11.72,18.08
11.66,20.54
11.60,23.03
11.53,25.77
11.46,28.91
11.39,31.87
11.34,33.77
11.28,35.91
11.24,37.51
11.19,39.54
11.14,41.02
11.09,42.98
11.04,44.63
10.99,46.23
10.93,48.08
10.89,49.60
10.81,52.09
10.73,54.63
10.66,56.34
10.57,58.92
10.48,61.21
10.32,64.99
10.12,67.81
9.73,69.82
9.68,70.31
7.87,71.42
5.68,72.30
4.14,73.41
2.88,75.15
0,76.63
