wert,wert,wert,wert
s,t,U,I
160,19.15094076,-0.682,-0.024289027
161,19.2713696,-0.68,-0.02430141
162,19.39183198,-0.678,-0.024292916
163,19.51226132,-0.676,-0.024278864
164,19.63272166,-0.674,-0.024282411
165,19.75315152,-0.672,-0.024304539
166,19.87363594,-0.67,-0.024300292
167,19.99409372,-0.668,-0.024315387
168,20.11452642,-0.666,-0.024336562
169,20.23498022,-0.664,-0.024335384
170,20.35541908,-0.662,-0.024331003
171,20.47587272,-0.66,-0.024340183
172,20.59630784,-0.658,-0.024326205
173,20.71676864,-0.656,-0.024340332
174,20.83721078,-0.654,-0.024338752
175,20.95766374,-0.652,-0.024337083
176,21.07810962,-0.65,-0.024340674
177,21.1985721,-0.648,-0.024357796
178,21.31899718,-0.646,-0.02436167
179,21.43945708,-0.644,-0.024357721
180,21.55990312,-0.642,-0.024365976
181,21.68034326,-0.64,-0.024356633
182,21.80079912,-0.638,-0.024349302
183,21.92124476,-0.636,-0.024328828
184,22.04170048,-0.634,-0.024337679
185,22.16212202,-0.632,-0.024333805
186,22.28258008,-0.63,-0.024336755
187,22.4030316,-0.628,-0.02433458
188,22.5234766,-0.626,-0.02433233
189,22.64392122,-0.624,-0.02432996
190,22.76438472,-0.622,-0.024332955
191,22.88483402,-0.62,-0.024327099
192,23.00528174,-0.618,-0.024312884
193,23.12571012,-0.616,-0.0243247
194,23.24615272,-0.614,-0.02432391
195,23.36662924,-0.612,-0.024339288
196,23.48707686,-0.61,-0.024337679
197,23.60752106,-0.608,-0.024332017
198,23.72795348,-0.606,-0.024334416
199,23.8484144,-0.604,-0.024326921
200,23.96884614,-0.602,-0.024313614
201,24.08931764,-0.6,-0.024328709
202,24.20976794,-0.598,-0.024319962
203,24.3302297,-0.596,-0.024321333
204,24.45068002,-0.594,-0.024314597
205,24.57114094,-0.592,-0.024313658
206,24.69157922,-0.59,-0.024303153
207,24.812027,-0.588,-0.024306595
208,24.93248776,-0.586,-0.024311885
209,25.05292192,-0.584,-0.024332628
210,25.17337092,-0.582,-0.02435118
211,25.29379546,-0.58,-0.024333328
212,25.41425892,-0.578,-0.024327263
213,25.53468764,-0.576,-0.024342716
214,25.65512966,-0.574,-0.024348259
215,25.77557688,-0.572,-0.024333179
216,25.89603526,-0.57,-0.02433297
217,26.0164801,-0.568,-0.024341747
218,26.13693106,-0.566,-0.024351507
219,26.25737812,-0.564,-0.024353772
220,26.37783434,-0.562,-0.024355814
221,26.49826698,-0.56,-0.024332345
222,26.61870436,-0.558,-0.024318844
223,26.73914374,-0.556,-0.024317175
224,26.85960614,-0.554,-0.024319872
225,26.98007186,-0.552,-0.024327338
226,27.1005068,-0.55,-0.024333879
227,27.22096148,-0.548,-0.024347559
228,27.3413928,-0.546,-0.024321884
229,27.46185576,-0.544,-0.024311826
230,27.58229232,-0.542,-0.024322391
231,27.7027621,-0.54,-0.024294317
232,27.8231952,-0.538,-0.024302736
233,27.94364922,-0.536,-0.024287701
234,28.06407954,-0.534,-0.024308458
235,28.18449726,-0.532,-0.02431412
236,28.30495174,-0.53,-0.024311423
237,28.42538736,-0.528,-0.024281994
238,28.54584608,-0.526,-0.02430205
239,28.66630012,-0.524,-0.024313822
240,28.78676564,-0.522,-0.024338976
241,28.90719706,-0.52,-0.024333745
242,29.0276604,-0.518,-0.024331763
243,29.14808562,-0.516,-0.024314135
244,29.26854356,-0.514,-0.024309337
245,29.38898608,-0.512,-0.024311841
246,29.50943058,-0.51,-0.024323165
247,29.62985786,-0.508,-0.024333745
248,29.75029158,-0.506,-0.024328798
249,29.87075526,-0.504,-0.024324
250,29.99118758,-0.502,-0.024319336
251,30.111636,-0.5,-0.024316162
252,30.23206808,-0.498,-0.024300322
253,30.3525203,-0.496,-0.024289325
254,30.47296928,-0.494,-0.024287954
255,30.59342338,-0.492,-0.024332598
256,30.71387472,-0.49,-0.024340555
257,30.83431984,-0.488,-0.024318755
258,30.95475018,-0.486,-0.024304092
259,31.07520532,-0.484,-0.024288163
260,31.19563884,-0.482,-0.02429004
261,31.316093,-0.48,-0.024281487
262,31.43652744,-0.478,-0.024279088
263,31.55695794,-0.476,-0.024282128
264,31.67740538,-0.474,-0.024290338
265,31.79785412,-0.472,-0.024281234
266,31.91830338,-0.47,-0.024264112
267,32.03873552,-0.468,-0.024261445
268,32.15919458,-0.466,-0.024258703
269,32.27963192,-0.464,-0.02425395
270,32.40009798,-0.462,-0.024279192
271,32.52054772,-0.46,-0.024290174
272,32.64101766,-0.458,-0.024301827
273,32.76145348,-0.456,-0.024318263
274,32.88190822,-0.454,-0.02429986
275,33.00234828,-0.452,-0.024314001
276,33.12279896,-0.45,-0.024316847
277,33.2432647,-0.448,-0.024309531
278,33.36370876,-0.446,-0.024291664
279,33.4841704,-0.444,-0.024308592
280,33.60460142,-0.442,-0.024299964
281,33.72506498,-0.44,-0.024293914
282,33.8455048,-0.438,-0.024290919
283,33.96597288,-0.436,-0.024293199
284,34.08641638,-0.434,-0.024299115
285,34.20687418,-0.432,-0.024297506
286,34.32732614,-0.43,-0.024300665
287,34.44777704,-0.428,-0.024292201
288,34.56822,-0.426,-0.024291277
289,34.68867214,-0.424,-0.024296165
290,34.80912616,-0.422,-0.024301916
291,34.92956114,-0.42,-0.024315968
292,35.05000688,-0.418,-0.024326041
293,35.17044518,-0.416,-0.024312511
294,35.29090574,-0.414,-0.024307996
295,35.41134874,-0.412,-0.024306491
296,35.53179592,-0.41,-0.024315
297,35.65224622,-0.408,-0.024318472
298,35.77269204,-0.406,-0.024319336
299,35.89313064,-0.404,-0.024316996
300,36.01357766,-0.402,-0.024300963
301,36.134019,-0.4,-0.024294838
302,36.25448592,-0.398,-0.024280816
303,36.3749289,-0.396,-0.024285957
304,36.49538048,-0.394,-0.024287194
305,36.61583968,-0.392,-0.024306461
306,36.7362881,-0.39,-0.024294123
307,36.85674338,-0.388,-0.024282321
308,36.97717762,-0.386,-0.024271399
309,37.09765372,-0.384,-0.024282739
310,37.218096,-0.382,-0.024280861
311,37.33855534,-0.38,-0.02425994
312,37.45899796,-0.378,-0.02425307
313,37.5794538,-0.376,-0.024243683
314,37.69988896,-0.374,-0.024268448
315,37.82031982,-0.372,-0.024272695
316,37.94078596,-0.37,-0.024266452
317,38.06122436,-0.368,-0.024233073
318,38.18167008,-0.366,-0.0242562
319,38.30211406,-0.364,-0.024276629
