wert,wert,wert,wert
s,t,U,I
160,19.15107688,-0.682,-0.035238162
161,19.2715235,-0.68,-0.035240039
162,19.39197354,-0.678,-0.035231993
163,19.51241588,-0.676,-0.035252541
164,19.63287264,-0.674,-0.03523396
165,19.75332104,-0.672,-0.035257548
166,19.87375766,-0.67,-0.03524442
167,19.99419792,-0.668,-0.035254076
168,20.11463184,-0.666,-0.035255551
169,20.23508018,-0.664,-0.035249546
170,20.35552998,-0.662,-0.035259664
171,20.47597566,-0.66,-0.035233036
172,20.59642046,-0.658,-0.03525722
173,20.71687128,-0.656,-0.035239503
174,20.8373145,-0.654,-0.035248175
175,20.95777172,-0.652,-0.035239831
176,21.0782125,-0.65,-0.035234258
177,21.19867382,-0.648,-0.035241634
178,21.319102,-0.646,-0.035224319
179,21.4395488,-0.644,-0.03523843
180,21.5600139,-0.642,-0.035222501
181,21.68045262,-0.64,-0.035231128
182,21.8009094,-0.638,-0.035230666
183,21.92135028,-0.636,-0.035233408
184,22.04180826,-0.634,-0.035232633
185,22.16224196,-0.632,-0.035232171
186,22.28269488,-0.63,-0.035239711
187,22.40312352,-0.628,-0.035230249
188,22.52358756,-0.626,-0.035246089
189,22.64401648,-0.624,-0.035237744
190,22.76448164,-0.622,-0.035239756
191,22.8849259,-0.62,-0.035241827
192,23.00537764,-0.618,-0.035233334
193,23.12583932,-0.616,-0.035247713
194,23.24627072,-0.614,-0.035231754
195,23.36672838,-0.612,-0.035238579
196,23.48715256,-0.61,-0.035230413
197,23.60759958,-0.608,-0.035233289
198,23.72803462,-0.606,-0.035233572
199,23.84848776,-0.604,-0.03521882
200,23.96892816,-0.602,-0.035229504
201,24.08938376,-0.6,-0.035225123
202,24.20983384,-0.598,-0.035231173
203,24.330289,-0.596,-0.03522642
204,24.45074234,-0.594,-0.035231039
205,24.57119178,-0.592,-0.035232946
206,24.6916411,-0.59,-0.035224527
207,24.81208992,-0.588,-0.035232455
208,24.93256032,-0.586,-0.035226613
209,25.05300454,-0.584,-0.03523232
210,25.17344536,-0.582,-0.035227209
211,25.29388002,-0.58,-0.035229295
212,25.41432728,-0.578,-0.035228923
213,25.534762,-0.576,-0.035225734
214,25.65521542,-0.574,-0.035230577
215,25.77566754,-0.572,-0.035223365
216,25.89613096,-0.57,-0.035228387
217,26.0165797,-0.568,-0.035220444
218,26.13700498,-0.566,-0.035224542
219,26.25744834,-0.564,-0.035222545
220,26.37788508,-0.562,-0.035217404
221,26.49833124,-0.56,-0.035222828
222,26.61877058,-0.558,-0.035212904
223,26.73921784,-0.556,-0.035218298
224,26.85964494,-0.554,-0.035212547
225,26.98010152,-0.552,-0.035217568
226,27.10051772,-0.55,-0.035218298
227,27.22096626,-0.548,-0.03521812
228,27.34138814,-0.546,-0.035222843
229,27.46185226,-0.544,-0.035213381
230,27.58229482,-0.542,-0.035222366
231,27.70276524,-0.54,-0.03521812
232,27.82320824,-0.538,-0.035221457
233,27.94364014,-0.536,-0.035219669
234,28.06410098,-0.534,-0.035222366
235,28.18453922,-0.532,-0.035223544
236,28.3049851,-0.53,-0.035221368
237,28.42542744,-0.528,-0.035223693
238,28.545892,-0.526,-0.03521803
239,28.66633042,-0.524,-0.035218701
240,28.7867881,-0.522,-0.035219833
241,28.90722538,-0.52,-0.035216913
242,29.02768648,-0.518,-0.035216421
243,29.14811032,-0.516,-0.035212696
244,29.26857276,-0.514,-0.035217941
245,29.3890239,-0.512,-0.035213619
246,29.50945374,-0.51,-0.035215273
247,29.62990156,-0.508,-0.035215527
248,29.75034152,-0.506,-0.035217166
249,29.8707812,-0.504,-0.035215482
250,29.9912148,-0.502,-0.035214126
251,30.11167742,-0.5,-0.03522107
252,30.23212568,-0.498,-0.03521198
253,30.35257898,-0.496,-0.03521499
254,30.47302424,-0.494,-0.035217285
255,30.59348158,-0.492,-0.035211504
256,30.71393446,-0.49,-0.035219088
257,30.83437866,-0.488,-0.035215318
258,30.954817,-0.486,-0.03521432
259,31.07524836,-0.484,-0.035213754
260,31.19568404,-0.482,-0.03521663
261,31.31612922,-0.48,-0.035215989
262,31.43658028,-0.478,-0.035213083
263,31.55700396,-0.476,-0.035197794
264,31.6774623,-0.474,-0.035177872
265,31.79790768,-0.472,-0.035184532
266,31.91835164,-0.47,-0.03516835
267,32.03878156,-0.468,-0.035160512
268,32.15923862,-0.466,-0.035173237
269,32.27967948,-0.464,-0.035174146
270,32.40013658,-0.462,-0.035187557
271,32.52057808,-0.46,-0.035223529
272,32.64101386,-0.458,-0.035231709
273,32.76146114,-0.456,-0.035248131
274,32.88189728,-0.454,-0.035267189
275,33.0023529,-0.452,-0.035269767
276,33.12278914,-0.45,-0.035278425
277,33.2432498,-0.448,-0.035275713
278,33.36368524,-0.446,-0.035262376
279,33.48414888,-0.444,-0.035256103
280,33.60459652,-0.442,-0.035246134
281,33.72504646,-0.44,-0.035234451
282,33.8454841,-0.438,-0.035222113
283,33.96593918,-0.436,-0.035209626
284,34.08638012,-0.434,-0.035202578
285,34.2068092,-0.432,-0.035198912
286,34.32726012,-0.43,-0.035196126
287,34.44770364,-0.428,-0.035191312
288,34.56815424,-0.426,-0.035191953
289,34.68859398,-0.424,-0.035195082
290,34.80904756,-0.422,-0.035201102
291,34.92949306,-0.42,-0.03520304
292,35.04993816,-0.418,-0.035210982
293,35.17037394,-0.416,-0.035214692
294,35.2908175,-0.414,-0.035215333
295,35.41125582,-0.412,-0.035218328
296,35.53169992,-0.41,-0.03522107
297,35.65214124,-0.408,-0.035218775
298,35.77258326,-0.406,-0.035215363
299,35.89304832,-0.404,-0.035212919
300,36.01348824,-0.402,-0.035211459
301,36.13394012,-0.4,-0.035208419
302,36.2543838,-0.398,-0.035204396
303,36.3748411,-0.396,-0.035200074
304,36.49529338,-0.394,-0.035198748
305,36.61574122,-0.392,-0.035196409
306,36.73619842,-0.39,-0.035192475
307,36.85664076,-0.388,-0.035191625
308,36.9770891,-0.386,-0.0351924
309,37.0975346,-0.384,-0.03519462
310,37.21796976,-0.382,-0.035191625
311,37.33843024,-0.38,-0.035195857
312,37.45887814,-0.378,-0.035191372
