wert,wert,wert,wert
s,t,U,I
146,17.56445784,-0.71,-9.55957E-06
147,17.6848879,-0.708,-9.52244E-06
148,17.80534038,-0.706,-9.47459E-06
149,17.92577374,-0.704,-9.4325E-06
150,18.04624446,-0.702,-9.39568E-06
151,18.16668364,-0.7,-9.35679E-06
152,18.28712966,-0.698,-9.33727E-06
153,18.40756104,-0.696,-9.28204E-06
154,18.52801638,-0.694,-9.24478E-06
155,18.64846458,-0.692,-9.23077E-06
156,18.76889396,-0.69,-9.18815E-06
157,18.88934942,-0.688,-9.15203E-06
158,19.00980088,-0.686,-9.10608E-06
159,19.13026136,-0.684,-9.08526E-06
160,19.2506882,-0.682,-9.06631E-06
161,19.37117912,-0.68,-9.00792E-06
162,19.49162308,-0.678,-8.97287E-06
163,19.61207284,-0.676,-8.93999E-06
164,19.73250102,-0.674,-8.91835E-06
165,19.85295388,-0.672,-8.87745E-06
166,19.97340878,-0.67,-8.82604E-06
167,20.0938673,-0.668,-8.79467E-06
168,20.21432076,-0.666,-8.76578E-06
169,20.3347499,-0.664,-8.71775E-06
170,20.45521472,-0.662,-8.71444E-06
171,20.5756471,-0.66,-8.67873E-06
172,20.69609764,-0.658,-8.65388E-06
173,20.816551,-0.656,-8.59666E-06
174,20.93700918,-0.654,-8.56776E-06
175,21.0574493,-0.652,-8.5336E-06
176,21.17790842,-0.65,-8.50537E-06
177,21.29834344,-0.648,-8.45199E-06
178,21.41879628,-0.646,-8.43907E-06
179,21.53923924,-0.644,-8.38903E-06
180,21.65967722,-0.642,-8.35726E-06
181,21.78011548,-0.64,-8.32431E-06
182,21.90055354,-0.638,-8.29421E-06
183,22.02100848,-0.636,-8.25875E-06
184,22.14142962,-0.634,-8.22699E-06
185,22.26188008,-0.632,-8.18973E-06
186,22.38231582,-0.63,-8.15446E-06
187,22.50275402,-0.628,-8.11881E-06
188,22.62319676,-0.626,-8.09727E-06
189,22.74365234,-0.624,-8.0759E-06
190,22.86408452,-0.622,-8.03105E-06
191,22.98454402,-0.62,-8.0034E-06
192,23.10497436,-0.618,-7.97271E-06
193,23.22544146,-0.616,-7.93409E-06
194,23.34587016,-0.614,-7.90188E-06
195,23.46630144,-0.612,-7.87997E-06
196,23.58675234,-0.61,-7.83609E-06
197,23.70717794,-0.608,-7.81153E-06
198,23.82762718,-0.606,-7.78714E-06
199,23.94806892,-0.604,-7.74891E-06
200,24.06852802,-0.602,-7.72625E-06
201,24.18897254,-0.6,-7.68409E-06
202,24.30942664,-0.598,-7.65386E-06
203,24.42987624,-0.596,-7.62613E-06
204,24.55033802,-0.594,-7.60091E-06
205,24.67077424,-0.592,-7.56047E-06
206,24.7912154,-0.59,-7.52235E-06
207,24.91164352,-0.588,-7.48437E-06
208,25.0320858,-0.586,-7.45807E-06
209,25.15254542,-0.584,-7.43651E-06
210,25.27296456,-0.582,-7.39468E-06
211,25.3934137,-0.58,-7.3492E-06
212,25.51385058,-0.578,-7.3337E-06
213,25.63431152,-0.576,-7.29633E-06
214,25.75474176,-0.574,-7.2778E-06
215,25.87518522,-0.572,-7.24543E-06
216,25.99562148,-0.57,-7.20675E-06
217,26.1160685,-0.568,-7.18078E-06
218,26.23649916,-0.566,-7.1556E-06
219,26.35695392,-0.564,-7.12059E-06
220,26.47739208,-0.562,-7.08878E-06
221,26.59785662,-0.56,-7.05827E-06
222,26.7183092,-0.558,-7.02803E-06
223,26.83875366,-0.556,-7.00693E-06
224,26.9592039,-0.554,-6.97518E-06
225,27.0796608,-0.552,-6.93867E-06
226,27.20010754,-0.55,-6.91951E-06
227,27.32052942,-0.548,-6.89617E-06
228,27.44098226,-0.546,-6.86344E-06
229,27.56141992,-0.544,-6.82882E-06
230,27.68187098,-0.542,-6.80393E-06
231,27.80230362,-0.54,-6.77032E-06
232,27.92275764,-0.538,-6.74079E-06
233,28.04320566,-0.536,-6.70965E-06
234,28.16367222,-0.534,-6.67653E-06
235,28.28411524,-0.532,-6.65669E-06
236,28.40455528,-0.53,-6.62561E-06
237,28.52501696,-0.528,-6.59856E-06
238,28.64547188,-0.526,-6.57141E-06
239,28.76593118,-0.524,-6.54383E-06
240,28.88636824,-0.522,-6.51158E-06
241,29.00682316,-0.52,-6.48187E-06
242,29.12725888,-0.518,-6.45299E-06
243,29.24770606,-0.516,-6.42868E-06
244,29.36813852,-0.514,-6.40669E-06
245,29.4886063,-0.512,-6.37094E-06
246,29.60903448,-0.51,-6.34153E-06
247,29.72949376,-0.508,-6.31338E-06
248,29.84994472,-0.506,-6.28393E-06
249,29.97038982,-0.504,-6.25759E-06
250,30.09083188,-0.502,-6.23734E-06
251,30.21127416,-0.5,-6.20417E-06
252,30.33171356,-0.498,-6.18064E-06
253,30.45215084,-0.496,-6.14057E-06
254,30.57261122,-0.494,-6.11661E-06
255,30.6930524,-0.492,-6.09266E-06
256,30.81349954,-0.49,-6.06471E-06
257,30.93392652,-0.488,-6.03711E-06
258,31.05438094,-0.486,-6.00543E-06
259,31.17481296,-0.484,-5.98248E-06
260,31.29526438,-0.482,-5.95218E-06
261,31.41571352,-0.48,-5.93193E-06
262,31.53614542,-0.478,-5.91139E-06
263,31.6566098,-0.476,-5.87603E-06
264,31.77704004,-0.474,-5.84822E-06
265,31.89749614,-0.472,-5.82406E-06
266,32.0179314,-0.47,-5.79963E-06
267,32.1383965,-0.468,-5.76619E-06
268,32.25883478,-0.466,-5.73625E-06
269,32.3792715,-0.464,-5.71282E-06
270,32.4997135,-0.462,-5.68751E-06
271,32.62017444,-0.46,-5.65677E-06
272,32.74060962,-0.458,-5.63755E-06
273,32.8610542,-0.456,-5.60807E-06
274,32.98148332,-0.454,-5.57655E-06
275,33.10195164,-0.452,-5.54529E-06
276,33.2223874,-0.45,-5.52888E-06
277,33.34281192,-0.448,-5.4986E-06
278,33.46325182,-0.446,-5.47925E-06
279,33.5836943,-0.444,-5.44991E-06
280,33.70414538,-0.442,-5.42644E-06
281,33.82456986,-0.44,-5.39776E-06
282,33.94501392,-0.438,-5.37512E-06
