wert,wert
U,I
11.45,0
6.54,6.68
5.61,6.79
5.36,6.84
4.85,6.92
4.09,7.02
3.76,7.04
3.47,7.06
2.93,7.11
2.50,7.14
2.10,7.20
1.66,7.30
1.47,7.34
0.99,7.44
0.67,7.55
0.39,7.63
0.49,7.68
0.19,7.69
0,7.65
