Zeit t / s;Spannung U_B1 / V;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Relais R_1;Spannung U_A / V;Spannungsquelle S_1
0;0;2;0;-0,0530379017149443;;0;1,1640625;1
0,101;0;2;1;0,00266176682519159;;0;1,1640625;1
0,2;0;2;2;0,0583614353653275;;0;2,328125;1
0,3;0;0;3;0,114061103905463;;0;3,88020833333333;1
0,4;0;0;4;0,169760772445599;;0;3,4921875;1
0,5;0;0;5;0,225460440985731;;0;2,328125;1
0,6;0;0;6;0,281160109525867;;0;2,71614583333333;1
0,701;0;0;7;0,336859778066003;;0;3,10416666666667;1
0,801;0;0;8;0,392559446606139;;0;3,10416666666667;1
0,9;0;0;9;0,448259115146275;49,0742470456485;0;3,10416666666667;1
1;0;0;10;0,503958783686411;49,0742470456485;0;3,10416666666667;1
1,101;0;0;11;0,559658452226547;49,0742470456485;0;3,10416666666667;1
1,201;0;0;12;0,615358120766683;49,0742470456485;0;2,71614583333333;1
1,3;0;0;13;0,671057789306818;49,0742470456485;0;1,94010416666667;1
1,4;0;0;14;0,726757457846954;49,0742470456485;0;1,94010416666667;1
1,5;0;0;15;0,78245712638709;49,0742470456485;0;2,328125;1
1,601;0;0;16;0,838156794927226;49,0742470456485;0;2,328125;1
1,7;0;0;17;0,893856463467362;49,0742470456485;0;1,94010416666667;1
1,801;0;0;18;0,949556132007494;46,6382536061642;0;1,94010416666667;1
1,9;0;0;19;1,00525580054763;46,6382536061642;0;1,94010416666667;1
1,999;0;0;20;1,06095546908776;46,6382536061642;0;2,328125;1
2,101;0;0;21;1,1166551376279;46,6382536061642;0;2,328125;1
2,2;0;0;22;1,17235480616803;46,6382536061642;0;1,55208333333333;1
2,3;0;0;23;1,22805447470817;46,6382536061642;0;2,328125;1
2,4;0;0;24;1,28375414324831;46,6382536061642;0;2,328125;1
2,5;0;0;25;1,33945381178844;46,6382536061642;0;1,55208333333333;1
2,601;0;0;26;1,39515348032858;46,6382536061642;0;1,55208333333333;1
2,7;0;0;27;1,45085314886871;46,6382536061642;0;1,55208333333333;1
2,801;0;0;28;1,50655281740885;42,9534513447777;0;1,55208333333333;1
2,901;0;0;29;1,56225248594899;42,9534513447777;0;1,55208333333333;1
3;0;0;30;1,61795215448912;42,9534513447777;0;0,776041666666667;1
3,1;0;0;31;1,67365182302925;42,9534513447777;0;1,1640625;1
3,199;0;0;32;1,72935149156939;42,9534513447777;0;1,1640625;1
3,299;0;0;33;1,78505116010953;42,9534513447777;0;0,776041666666667;1
3,399;0;0;34;1,84075082864966;42,9534513447777;0;0,776041666666667;1
3,5;0;0;35;1,8964504971898;42,9534513447777;0;1,1640625;1
3,601;0;0;36;1,95215016572993;42,9534513447777;0;1,1640625;1
3,7;0;0;37;2,00784983427007;42,9534513447777;0;1,1640625;1
3,801;0;1;38;2,0635495028102;60,9943946151349;0;1,1640625;1
3,9;0;0;39;2,11924917135034;60,9943946151349;0;1,55208333333333;1
3,999;0;1;40;2,17494883989048;60,9943946151349;0;1,94010416666667;1
4,1;0;3;41;2,23064850843061;60,9943946151349;0;2,71614583333333;1
4,2;0;3;42;2,28634817697075;60,9943946151349;0;2,71614583333333;1
4,3;0;1;43;2,34204784551088;60,9943946151349;0;2,71614583333333;1
4,399;0;7;44;2,39774751405101;60,9943946151349;0;2,71614583333333;1
4,5;0;8;45;2,45344718259115;60,9943946151349;0;2,71614583333333;1
4,6;0;8;46;2,50914685113129;60,9943946151349;0;2,71614583333333;1
4,7;0;6;47;2,56484651967142;60,9943946151349;0;2,71614583333333;1
4,8;0;11;48;2,62054618821156;59,0539103147263;0;2,71614583333333;1
4,901;0;10;49;2,67624585675169;59,0539103147263;0;2,71614583333333;1
5;0;11;50;2,73194552529183;59,0539103147263;0;1,94010416666667;1
5,102;0;8;51;2,78764519383196;59,0539103147263;0;1,94010416666667;1
5,201;0;13;52;2,8433448623721;59,0539103147263;0;1,94010416666667;1
5,3;0;11;53;2,89904453091224;59,0539103147263;0;1,94010416666667;1
5,4;0;14;54;2,95474419945237;59,0539103147263;0;1,94010416666667;1
5,501;0;7;55;3,01044386799251;59,0539103147263;0;1,55208333333333;1
5,6;0;11;56;3,06614353653264;59,0539103147263;0;1,55208333333333;1
5,7;0;9;57;3,12184320507278;59,0539103147263;0;1,55208333333333;1
5,8;0;19;58;3,17754287361291;55,0320451598966;0;2,328125;1
5,9;0;16;59;3,23324254215305;55,0320451598966;0;2,71614583333333;1
6;0;9;60;3,28894221069318;55,0320451598966;0;2,71614583333333;1
6,099;0;12;61;3,34464187923332;55,0320451598966;0;2,71614583333333;1
6,2;0;17;62;3,40034154777346;55,0320451598966;0;2,71614583333333;1
6,301;0;10;63;3,45604121631359;55,0320451598966;0;2,71614583333333;1
6,4;0;10;64;3,51174088485373;55,0320451598966;0;2,71614583333333;1
6,501;0;8;65;3,56744055339386;55,0320451598966;0;2,71614583333333;1
6,6;0;14;66;3,623140221934;55,0320451598966;0;2,71614583333333;1
6,701;0;7;67;3,67883989047413;56,5670834588531;0;2,71614583333333;1
6,801;0;5;68;3,73453955901427;56,5670834588531;0;1,94010416666667;1
6,901;0;8;69;3,7902392275544;56,5670834588531;0;1,1640625;1
7;0;12;70;3,84593889609454;56,5670834588531;0;1,55208333333333;1
7,1;0;8;71;3,90163856463468;56,5670834588531;0;1,1640625;1
7,199;0;7;72;3,95733823317481;56,5670834588531;0;1,1640625;1
7,3;0;16;73;4,01303790171495;56,5670834588531;0;1,1640625;1
7,401;0;9;74;4,06873757025508;56,5670834588531;0;1,1640625;1
7,5;0;14;75;4,12443723879522;56,5670834588531;0;1,1640625;1
7,6;0;11;76;4,18013690733535;56,5670834588531;0;1,55208333333333;1
7,7;0;11;77;4,23583657587549;62,0432317238652;0;1,55208333333333;1
7,801;0;22;78;4,29153624441562;62,0432317238652;0;1,55208333333333;1
7,9;0;7;79;4,34723591295576;62,0432317238652;0;1,55208333333333;1
8;0;9;80;4,40293558149589;62,0432317238652;0;1,55208333333333;1
8,101;0;14;81;4,45863525003603;62,0432317238652;0;1,55208333333333;1
8,2;0;8;82;4,51433491857616;62,0432317238652;0;1,55208333333333;1
8,3;0;12;83;4,5700345871163;62,0432317238652;0;1,55208333333333;1
8,4;0;13;84;4,62573425565644;62,0432317238652;0;1,55208333333333;1
8,5;0;13;85;4,68143392419657;62,0432317238652;0;1,55208333333333;1
8,6;0;11;86;4,73713359273671;62,0432317238652;0;1,1640625;1
8,7;0;14;87;4,79283326127684;65,0415094913574;0;1,1640625;1
8,799;0;10;88;4,84853292981698;65,0415094913574;0;1,55208333333333;1
8,899;0;11;89;4,90423259835711;65,0415094913574;0;1,55208333333333;1
8,999;0;12;90;4,95993226689725;65,0415094913574;0;1,55208333333333;1
9,099;0;7;91;5,01563193543738;65,0415094913574;0;1,1640625;1
9,201;0;16;92;5,07133160397752;65,0415094913574;0;1,55208333333333;1
9,3;0;14;93;5,12703127251765;65,0415094913574;0;1,55208333333333;1
9,399;0;16;94;5,18273094105779;65,0415094913574;0;1,55208333333333;1
9,5;0;8;95;5,23843060959793;65,0415094913574;0;1,94010416666667;1
9,6;0;8;96;5,29413027813806;49,9699680492024;0;1,94010416666667;1
9,701;0;11;97;5,3498299466782;49,9699680492024;0;1,94010416666667;1
9,8;0;10;98;5,40552961521833;49,9699680492024;0;1,55208333333333;1
9,9;0;10;99;5,46122928375847;49,9699680492024;0;1,94010416666667;1
10;0;15;100;5,5169289522986;49,9699680492024;0;1,94010416666667;1
10,1;0;14;101;5,57262862083874;49,9699680492024;0;2,328125;1
10,201;0;11;102;5,62832828937887;49,9699680492024;0;2,328125;1
10,301;0;12;103;5,68402795791901;49,9699680492024;0;2,328125;1
10,4;0;12;104;5,73972762645914;49,9699680492024;0;2,328125;1
10,5;0;5;105;5,79542729499928;49,9699680492024;0;2,71614583333333;1
10,601;0;9;106;5,85112696353942;60,0127647150549;0;2,71614583333333;1
10,701;0;13;107;5,90682663207955;60,0127647150549;0;2,71614583333333;1
10,8;0;12;108;5,96252630061969;60,0127647150549;0;3,10416666666667;1
10,899;0;8;109;6,01822596915982;60,0127647150549;0;3,10416666666667;1
10,999;0;12;110;6,07392563769996;60,0127647150549;0;3,10416666666667;1
11,1;0;14;111;6,12962530624009;60,0127647150549;0;3,4921875;1
11,2;0;11;112;6,18532497478023;60,0127647150549;0;3,4921875;1
11,299;0;10;113;6,24102464332037;60,0127647150549;0;3,4921875;1
11,4;0;19;114;6,2967243118605;60,0127647150549;0;3,10416666666667;1
11,5;0;7;115;6,35242398040063;60,0127647150549;0;3,10416666666667;1
11,6;0;17;116;6,40812364894077;62,9869679963216;0;3,10416666666667;1
11,7;0;11;117;6,46382331748091;62,9869679963216;0;3,10416666666667;1
11,8;0;14;118;6,51952298602104;62,9869679963216;0;3,10416666666667;1
11,901;0;11;119;6,57522265456118;62,9869679963216;0;3,10416666666667;1
12;0;13;120;6,63092232310131;62,9869679963216;0;3,10416666666667;1
12,1;0;13;121;6,68662199164145;62,9869679963216;0;3,10416666666667;1
12,2;0;10;122;6,74232166018158;62,9869679963216;0;2,328125;1
12,3;0;9;123;6,79802132872172;62,9869679963216;0;3,4921875;1
12,399;0;17;124;6,85372099726185;62,9869679963216;0;3,4921875;1
12,5;0;16;125;6,90942066580199;62,9869679963216;0;3,4921875;1
12,6;0;21;126;6,96512033434213;61,0213086409774;0;2,328125;1
12,7;0;12;127;7,02082000288226;61,0213086409774;0;2,328125;1
12,799;0;17;128;7,07651967142239;61,0213086409774;0;1,94010416666667;1
12,9;0;13;129;7,13221933996253;61,0213086409774;0;1,1640625;1
13;0;16;130;7,18791900850267;61,0213086409774;0;1,1640625;1
13,1;0;13;131;7,2436186770428;61,0213086409774;0;1,1640625;1
13,201;0;16;132;7,29931834558294;61,0213086409774;0;1,1640625;1
13,3;0;15;133;7,35501801412307;61,0213086409774;0;2,328125;1
13,401;0;19;134;7,41071768266321;61,0213086409774;0;1,1640625;1
13,5;0;15;135;7,46641735120334;51,089290307562;0;1,1640625;1
13,601;0;20;136;7,52211701974348;51,089290307562;0;1,1640625;1
13,7;0;16;137;7,57781668828362;51,089290307562;0;2,328125;1
13,8;0;18;138;7,63351635682375;51,089290307562;0;2,328125;1
13,901;0;14;139;7,68921602536389;51,089290307562;0;2,328125;1
14,001;0;14;140;7,74491569390402;51,089290307562;0;3,4921875;1
14,1;0;14;141;7,80061536244416;51,089290307562;0;3,4921875;1
14,201;0;13;142;7,85631503098429;51,089290307562;0;4,65625;1
14,301;0;10;143;7,91201469952443;51,089290307562;0;4,26822916666667;1
14,401;0;5;144;7,96771436806456;48,8357284853366;0;4,26822916666667;1
14,501;0;15;145;8,0234140366047;48,8357284853366;0;4,26822916666667;1
14,601;0;8;146;8,07911370514483;48,8357284853366;0;4,26822916666667;1
14,7;0;11;147;8,13481337368497;48,8357284853366;0;3,88020833333333;1
14,801;0;16;148;8,19051304222511;48,8357284853366;0;3,88020833333333;1
14,9;0;22;149;8,24621271076524;48,8357284853366;0;3,88020833333333;1
15;0;21;150;8,30191237930538;48,8357284853366;0;2,71614583333333;1
15,1;0;11;151;8,35761204784551;48,8357284853366;0;2,71614583333333;1
15,2;0;24;152;8,41331171638565;48,8357284853366;0;1,94010416666667;1
15,3;0;16;153;8,46901138492578;48,8357284853366;0;0,776041666666667;1
15,4;0;9;154;8,52471105346592;50,1024846323154;0;0,388020833333333;1
15,5;0;7;155;8,58041072200605;50,1024846323154;0;0,388020833333333;1
15,6;0;9;156;8,63611039054619;50,1024846323154;0;0;1
15,7;0;12;157;8,69181005908632;50,1024846323154;0;0;1
15,8;0;12;158;8,74750972762646;50,1024846323154;0;0;1
15,9;0;17;159;8,8032093961666;50,1024846323154;0;0;1
16;0;8;160;8,85890906470673;50,1024846323154;0;0,776041666666667;1
16,1;0;8;161;8,91460873324687;50,1024846323154;0;0,776041666666667;1
16,2;0;12;162;8,970308401787;50,1024846323154;0;1,55208333333333;1
16,3;0;12;163;9,02600807032714;52,1752123558896;0;3,10416666666667;1
16,4;0;17;164;9,08170773886727;52,1752123558896;0;3,10416666666667;1
16,5;0;16;165;9,13740740740741;52,1752123558896;0;3,10416666666667;1
16,6;0;11;166;9,19310707594754;52,1752123558896;0;3,4921875;1
16,7;0;19;167;9,24880674448768;52,1752123558896;0;4,65625;1
16,799;0;13;168;9,30450641302781;52,1752123558896;0;4,65625;1
16,899;0;16;169;9,36020608156795;52,1752123558896;0;3,88020833333333;1
17;0;23;170;9,41590575010808;52,1752123558896;0;5,04427083333333;1
17,101;0;25;171;9,47160541864822;52,1752123558896;0;5,04427083333333;1
17,2;0;40;172;9,52730508718836;52,1752123558896;0;5,04427083333333;1
17,301;0;28;173;9,58300475572849;51,9236722018633;0;3,88020833333333;1
17,401;0;39;174;9,63870442426863;51,9236722018633;0;3,88020833333333;1
17,501;0;38;175;9,69440409280876;51,9236722018633;0;4,65625;1
17,601;0;39;176;9,7501037613489;51,9236722018633;0;4,26822916666667;1
17,7;0;35;177;9,80580342988904;51,9236722018633;0;4,26822916666667;1
17,8;0;24;178;9,86150309842917;51,9236722018633;0;4,26822916666667;1
17,899;0;33;179;9,9172027669693;51,9236722018633;0;4,26822916666667;1
18;0;23;180;9,97290243550944;51,9236722018633;0;2,71614583333333;1
18,1;0;26;181;10,0286021040496;51,9236722018633;0;2,71614583333333;1
18,199;0;13;182;10,0843017725897;51,9236722018633;0;2,71614583333333;1
18,3;0;12;183;10,1400014411298;58,0472156051732;0;2,71614583333333;1
18,4;0;14;184;10,19570110967;58,0472156051732;0;3,10416666666667;1
18,5;0;9;185;10,2514007782101;58,0472156051732;0;1,94010416666667;1
18,6;0;10;186;10,3071004467503;58,0472156051732;0;1,55208333333333;1
18,701;0;7;187;10,3628001152904;58,0472156051732;0;1,55208333333333;1
18,801;0;10;188;10,4184997838305;58,0472156051732;0;1,55208333333333;1
18,9;0;12;189;10,4741994523707;58,0472156051732;0;1,55208333333333;1
19,001;0;18;190;10,5298991209108;58,0472156051732;0;1,55208333333333;1
19,101;0;11;191;10,5855987894509;58,0472156051732;0;1,94010416666667;1
19,2;0;9;192;10,6412984579911;58,0472156051732;0;2,328125;1
19,3;0;15;193;10,6969981265312;44,0106681859683;0;2,328125;1
19,4;0;7;194;10,7526977950713;44,0106681859683;0;2,71614583333333;1
19,5;0;16;195;10,8083974636115;44,0106681859683;0;2,71614583333333;1
19,599;0;16;196;10,8640971321516;44,0106681859683;0;2,71614583333333;1
19,7;0;13;197;10,9197968006917;44,0106681859683;0;2,328125;1
19,799;0;11;198;10,9754964692319;44,0106681859683;0;2,328125;1
19,9;0;12;199;11,031196137772;44,0106681859683;0;2,328125;1
20,001;0;10;200;11,0868958063121;44,0106681859683;0;2,328125;1
20,101;0;22;201;11,1425954748523;44,0106681859683;0;2,328125;1
20,2;0;11;202;11,1982951433924;44,0106681859683;0;3,10416666666667;1
20,3;0;19;203;11,2539948119326;58,0329104635239;0;1,94010416666667;1
20,4;0;27;204;11,3096944804727;58,0329104635239;0;2,328125;1
20,5;0;29;205;11,3653941490128;58,0329104635239;0;0,776041666666667;1
20,599;0;37;206;11,421093817553;58,0329104635239;0;0,776041666666667;1
20,7;0;25;207;11,4767934860931;58,0329104635239;0;0,776041666666667;1
20,801;0;33;208;11,5324931546332;58,0329104635239;0;0,776041666666667;1
20,9;0;27;209;11,5881928231734;58,0329104635239;0;1,1640625;1
21,001;0;33;210;11,6438924917135;58,0329104635239;0;2,328125;1
21,1;0;18;211;11,6995921602536;58,0329104635239;0;2,328125;1
21,2;0;34;212;11,7552918287938;56,6121240302815;0;1,1640625;1
21,3;0;26;213;11,8109914973339;56,6121240302815;0;1,1640625;1
21,401;0;18;214;11,866691165874;56,6121240302815;0;1,1640625;1
21,5;0;20;215;11,9223908344142;56,6121240302815;0;1,94010416666667;1
21,599;0;20;216;11,9780905029543;56,6121240302815;0;1,94010416666667;1
21,699;0;9;217;12,0337901714945;56,6121240302815;0;1,94010416666667;1
21,8;0;21;218;12,0894898400346;56,6121240302815;0;1,94010416666667;1
21,9;0;18;219;12,1451895085747;56,6121240302815;0;1,94010416666667;1
21,999;0;15;220;12,2008891771149;56,6121240302815;0;1,94010416666667;1
22,101;0;27;221;12,256588845655;61,0471337149778;0;1,1640625;1
22,201;0;18;222;12,3122885141951;61,0471337149778;0;1,1640625;1
22,3;0;18;223;12,3679881827353;61,0471337149778;0;1,55208333333333;1
22,4;0;25;224;12,4236878512754;61,0471337149778;0;1,94010416666667;1
22,5;0;17;225;12,4793875198155;61,0471337149778;0;1,94010416666667;1
22,6;0;21;226;12,5350871883557;61,0471337149778;0;1,55208333333333;1
22,7;0;21;227;12,5907868568958;61,0471337149778;0;1,55208333333333;1
22,8;0;34;228;12,6464865254359;61,0471337149778;0;1,94010416666667;1
22,9;0;19;229;12,7021861939761;61,0471337149778;0;1,94010416666667;1
22,999;0;28;230;12,7578858625162;61,0471337149778;0;1,94010416666667;1
23,1;0;13;231;12,8135855310563;46,0527027129847;0;2,328125;1
23,2;0;30;232;12,8692851995965;46,0527027129847;0;2,328125;1
23,3;0;18;233;12,9249848681366;46,0527027129847;0;2,328125;1
23,4;0;29;234;12,9806845366768;46,0527027129847;0;1,94010416666667;1
23,5;0;23;235;13,0363842052169;46,0527027129847;0;1,94010416666667;1
23,6;0;29;236;13,092083873757;46,0527027129847;0;2,71614583333333;1
23,7;0;21;237;13,1477835422972;46,0527027129847;0;2,71614583333333;1
23,8;0;28;238;13,2034832108373;46,0527027129847;0;1,94010416666667;1
23,901;0;40;239;13,2591828793774;46,0527027129847;0;1,94010416666667;1
24,001;0;38;240;13,3148825479176;53,2704091422676;0;1,94010416666667;1
24,1;0;34;241;13,3705822164577;53,2704091422676;0;1,55208333333333;1
24,2;0;40;242;13,4262818849978;53,2704091422676;0;2,328125;1
24,3;0;35;243;13,481981553538;53,2704091422676;0;2,328125;1
24,4;0;32;244;13,5376812220781;53,2704091422676;0;2,328125;1
24,5;0;37;245;13,5933808906182;53,2704091422676;0;3,10416666666667;1
24,6;0;32;246;13,6490805591584;53,2704091422676;0;2,71614583333333;1
24,7;0;34;247;13,7047802276985;53,2704091422676;0;2,71614583333333;1
24,8;0;27;248;13,7604798962387;53,2704091422676;0;2,71614583333333;1
24,9;0;39;249;13,8161795647788;53,2704091422676;0;2,71614583333333;1
25;0;37;250;13,8718792333189;49,0714136282532;0;3,10416666666667;1
25,099;0;44;251;13,9275789018591;49,0714136282532;0;3,10416666666667;1
25,199;0;41;252;13,9832785703992;49,0714136282532;0;2,71614583333333;1
25,3;0;39;253;14,0389782389393;49,0714136282532;0;2,71614583333333;1
25,399;0;43;254;14,0946779074795;49,0714136282532;0;3,10416666666667;1
25,499;0;31;255;14,1503775760196;49,0714136282532;0;2,71614583333333;1
25,6;0;33;256;14,2060772445597;49,0714136282532;0;2,71614583333333;1
25,7;0;31;257;14,2617769130999;49,0714136282532;0;2,328125;1
25,8;0;45;258;14,31747658164;49,0714136282532;0;2,71614583333333;1
