Zeit t / s;Spannung U_B1 / V;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Relais R_1;Spannung U_A / V;Spannungsquelle S_1
0;0;0;0;-0,0530379017149443;;0;1,1640625;1
0,101;0;1;1;0,00266176682519159;;0;1,1640625;1
0,201;0;1;2;0,0583614353653275;;0;1,1640625;1
0,3;0;0;3;0,114061103905463;;0;1,55208333333333;1
0,4;0;0;4;0,169760772445599;;0;1,55208333333333;1
0,5;0;0;5;0,225460440985731;;0;1,1640625;1
0,6;0;0;6;0,281160109525867;;0;1,1640625;1
0,7;0;0;7;0,336859778066003;;0;1,1640625;1
0,8;0;0;8;0,392559446606139;;0;1,1640625;1
0,9;0;0;9;0,448259115146275;33,7751007560284;0;1,1640625;1
1,001;0;0;10;0,503958783686411;33,7751007560284;0;1,1640625;1
1,101;0;0;11;0,559658452226547;33,7751007560284;0;1,1640625;1
1,2;0;0;12;0,615358120766683;33,7751007560284;0;0,776041666666667;1
1,3;0;0;13;0,671057789306818;33,7751007560284;0;1,1640625;1
1,401;0;0;14;0,726757457846954;33,7751007560284;0;0,388020833333333;1
1,501;0;0;15;0,78245712638709;33,7751007560284;0;0,388020833333333;1
1,6;0;0;16;0,838156794927226;33,7751007560284;0;0,388020833333333;1
1,701;0;0;17;0,893856463467362;33,7751007560284;0;1,1640625;1
1,8;0;0;18;0,949556132007494;33,7751007560284;0;0,776041666666667;1
1,9;0;0;19;1,00525580054763;29,0369698700385;0;1,1640625;1
2;0;0;20;1,06095546908776;29,0369698700385;0;1,55208333333333;1
2,1;0;0;21;1,1166551376279;29,0369698700385;0;1,94010416666667;1
2,2;0;0;22;1,17235480616803;29,0369698700385;0;1,94010416666667;1
2,301;0;0;23;1,22805447470817;29,0369698700385;0;1,55208333333333;1
2,4;0;0;24;1,28375414324831;29,0369698700385;0;1,55208333333333;1
2,501;0;0;25;1,33945381178844;29,0369698700385;0;1,94010416666667;1
2,601;0;0;26;1,39515348032858;29,0369698700385;0;1,94010416666667;1
2,7;0;0;27;1,45085314886871;29,0369698700385;0;1,94010416666667;1
2,8;0;0;28;1,50655281740885;26,647249704049;0;1,94010416666667;1
2,899;0;0;29;1,56225248594899;26,647249704049;0;2,328125;1
3;0;0;30;1,61795215448912;26,647249704049;0;2,328125;1
3,101;0;0;31;1,67365182302925;26,647249704049;0;2,328125;1
3,201;0;0;32;1,72935149156939;26,647249704049;0;1,94010416666667;1
3,3;0;0;33;1,78505116010953;26,647249704049;0;1,94010416666667;1
3,4;0;2;34;1,84075082864966;26,647249704049;0;1,94010416666667;1
3,501;0;0;35;1,8964504971898;26,647249704049;0;1,94010416666667;1
3,6;0;1;36;1,95215016572993;26,647249704049;0;1,55208333333333;1
3,701;0;1;37;2,00784983427007;33,2803657822816;0;1,55208333333333;1
3,8;0;0;38;2,0635495028102;33,2803657822816;0;1,1640625;1
3,9;0;1;39;2,11924917135034;33,2803657822816;0;1,1640625;1
4;0;2;40;2,17494883989048;33,2803657822816;0;1,1640625;1
4,101;0;1;41;2,23064850843061;33,2803657822816;0;1,1640625;1
4,2;0;4;42;2,28634817697075;33,2803657822816;0;1,1640625;1
4,301;0;1;43;2,34204784551088;33,2803657822816;0;1,1640625;1
4,4;0;1;44;2,39774751405101;33,2803657822816;0;1,1640625;1
4,501;0;3;45;2,45344718259115;33,2803657822816;0;0,776041666666667;1
4,6;0;6;46;2,50914685113129;33,2803657822816;0;1,1640625;1
4,7;0;3;47;2,56484651967142;38,0606305845211;0;1,1640625;1
