Zeit t / s;Spannung U_B1 / V;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Relais R_1;Spannung U_A / V;Spannungsquelle S_1
0;0;1;0;-0,0530379017149443;;0;0;1
0,1;0;0;1;0,00266176682519159;;0;0;1
0,201;0;1;2;0,0583614353653275;;0;0,388020833333333;1
0,3;0;0;3;0,114061103905463;;0;0,388020833333333;1
0,402;0;0;4;0,169760772445599;;0;0,388020833333333;1
0,5;0;0;5;0,225460440985731;;0;0,776041666666667;1
0,6;0;0;6;0,281160109525867;;0;0,776041666666667;1
0,7;0;0;7;0,336859778066003;;0;0,776041666666667;1
0,8;0;0;8;0,392559446606139;;0;0,776041666666667;1
0,9;0;0;9;0,448259115146275;23,9749117804979;0;1,1640625;1
1,001;0;0;10;0,503958783686411;23,9749117804979;0;1,1640625;1
1,101;0;0;11;0,559658452226547;23,9749117804979;0;1,1640625;1
1,201;0;0;12;0,615358120766683;23,9749117804979;0;1,1640625;1
1,3;0;0;13;0,671057789306818;23,9749117804979;0;1,1640625;1
1,4;0;0;14;0,726757457846954;23,9749117804979;0;1,1640625;1
1,5;0;0;15;0,78245712638709;23,9749117804979;0;1,1640625;1
1,599;0;0;16;0,838156794927226;23,9749117804979;0;1,1640625;1
1,7;0;0;17;0,893856463467362;23,9749117804979;0;1,1640625;1
1,801;0;0;18;0,949556132007494;14,4331032326598;0;1,1640625;1
1,9;0;0;19;1,00525580054763;14,4331032326598;0;1,1640625;1
2,001;0;0;20;1,06095546908776;14,4331032326598;0;1,1640625;1
2,1;0;0;21;1,1166551376279;14,4331032326598;0;1,1640625;1
2,2;0;0;22;1,17235480616803;14,4331032326598;0;1,1640625;1
2,3;0;0;23;1,22805447470817;14,4331032326598;0;1,1640625;1
2,4;0;0;24;1,28375414324831;14,4331032326598;0;0,776041666666667;1
2,5;0;0;25;1,33945381178844;14,4331032326598;0;1,1640625;1
2,601;0;0;26;1,39515348032858;14,4331032326598;0;1,1640625;1
2,7;0;0;27;1,45085314886871;14,4331032326598;0;1,1640625;1
2,801;0;0;28;1,50655281740885;28,0005936125846;0;0,776041666666667;1
2,901;0;0;29;1,56225248594899;28,0005936125846;0;0,776041666666667;1
3;0;0;30;1,61795215448912;28,0005936125846;0;0,388020833333333;1
3,1;0;0;31;1,67365182302925;28,0005936125846;0;0,388020833333333;1
3,2;0;0;32;1,72935149156939;28,0005936125846;0;0,776041666666667;1
3,3;0;0;33;1,78505116010953;28,0005936125846;0;1,1640625;1
3,4;0;0;34;1,84075082864966;28,0005936125846;0;1,1640625;1
3,5;0;0;35;1,8964504971898;28,0005936125846;0;1,1640625;1
3,6;0;0;36;1,95215016572993;28,0005936125846;0;1,1640625;1
3,7;0;0;37;2,00784983427007;28,0005936125846;0;1,1640625;1
